meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label
0.194,0.058,0.206,0.149,0.243,0.093,5.251,74.426,0.93,0.382,0.09,0.194,0.078,0.016,0.254,0.162,0.094,0.656,0.563,0.133,male
0.195,0.056,0.208,0.148,0.242,0.094,6.984,116.959,0.924,0.314,0.09,0.195,0.063,0.016,0.219,0.148,0.094,0.367,0.273,0.099,male
0.194,0.055,0.202,0.152,0.241,0.089,4.058,44.447,0.915,0.3,0.09,0.194,0.083,0.016,0.25,0.23,0.008,1.984,1.977,0.117,male
0.194,0.052,0.202,0.164,0.236,0.072,5.418,66.091,0.91,0.295,0.09,0.194,0.082,0.016,0.262,0.257,0.008,3.242,3.234,0.082,male
0.198,0.055,0.215,0.156,0.237,0.081,3.845,33.68,0.904,0.272,0.09,0.198,0.112,0.018,0.276,0.277,0.008,2.07,2.063,0.093,male
0.199,0.057,0.211,0.16,0.242,0.082,6.23,85.997,0.906,0.308,0.09,0.199,0.072,0.018,0.151,0.146,0.094,0.422,0.328,0.127,male
0.206,0.055,0.219,0.163,0.258,0.095,3.958,34.319,0.911,0.258,0.09,0.206,0.073,0.016,0.198,0.159,0.094,0.383,0.289,0.244,male
0.118,0.08,0.111,0.047,0.197,0.15,23.538,671.834,0.902,0.563,0,0.118,0.091,0.016,0.276,0.008,0.008,0.008,0,0,male
0.106,0.081,0.103,0.023,0.188,0.165,27.953,903.789,0.893,0.554,0,0.106,0.088,0.016,0.267,0.008,0.008,0.008,0,0,male
0.107,0.081,0.103,0.025,0.189,0.164,24.705,714.697,0.891,0.577,0,0.107,0.076,0.016,0.222,0.008,0.008,0.008,0,0,male
0.119,0.083,0.106,0.046,0.2,0.155,26.88,812.204,0.884,0.604,0,0.119,0.093,0.016,0.176,0.008,0.008,0.008,0,0,male
0.083,0.081,0.061,0.008,0.13,0.121,15.891,402.933,0.906,0.562,0,0.083,0.087,0.016,0.271,0.008,0.008,0.016,0.008,0.043,male
0.131,0.083,0.117,0.082,0.205,0.123,27.705,896.65,0.9,0.584,0,0.131,0.09,0.017,0.239,0.008,0.008,0.008,0,0,male
0.097,0.084,0.087,0.018,0.173,0.156,20.307,577.37,0.94,0.688,0,0.097,0.101,0.016,0.271,0.008,0.008,0.023,0.016,0.049,male
0.12,0.081,0.11,0.06,0.193,0.132,22.401,560.123,0.855,0.505,0,0.12,0.081,0.016,0.262,0.008,0.008,0.008,0,0,male
0.107,0.087,0.101,0.014,0.192,0.178,23.86,615.527,0.853,0.557,0,0.107,0.095,0.016,0.262,0.008,0.008,0.008,0,0,male
0.101,0.081,0.098,0.029,0.177,0.148,22.649,592.563,0.908,0.617,0,0.101,0.082,0.018,0.276,0.008,0.008,0.008,0,0,male
0.17,0.067,0.141,0.124,0.243,0.118,2.385,10.24,0.92,0.484,0.134,0.17,0.111,0.017,0.267,0.216,0.008,0.836,0.828,0.143,male
0.163,0.065,0.15,0.112,0.227,0.115,1.802,6.461,0.938,0.578,0.117,0.163,0.102,0.016,0.267,0.273,0.008,0.664,0.656,0.424,male
0.161,0.069,0.173,0.099,0.211,0.112,2.67,12.896,0.934,0.567,0.097,0.161,0.098,0.02,0.271,1.143,0.094,6.43,6.336,0.139,male
0.165,0.067,0.148,0.119,0.229,0.11,1.764,6.962,0.953,0.626,0.142,0.165,0.127,0.016,0.276,0.275,0.008,3.32,3.313,0.08,male
0.177,0.068,0.163,0.121,0.246,0.125,1.859,6.621,0.923,0.462,0.131,0.177,0.111,0.018,0.16,0.242,0.008,2.578,2.57,0.106,male
0.177,0.058,0.162,0.126,0.23,0.104,1.73,6.673,0.909,0.358,0.113,0.177,0.128,0.017,0.267,0.144,0.109,0.352,0.242,0.161,male
0.179,0.065,0.164,0.126,0.248,0.121,2.142,8.493,0.913,0.437,0.126,0.179,0.126,0.027,0.182,0.44,0.07,5.844,5.773,0.11,male
0.166,0.062,0.15,0.12,0.229,0.109,1.763,6.111,0.928,0.482,0.114,0.166,0.114,0.017,0.157,0.164,0.07,0.445,0.375,0.262,male
0.174,0.065,0.167,0.117,0.241,0.124,2.156,7.981,0.91,0.419,0.127,0.174,0.11,0.018,0.262,1.061,0.008,5.797,5.789,0.174,male
0.168,0.063,0.146,0.117,0.231,0.114,2.01,7.938,0.926,0.462,0.109,0.168,0.112,0.016,0.246,0.155,0.078,0.438,0.359,0.216,male
0.169,0.068,0.143,0.116,0.239,0.123,2.039,7.547,0.922,0.483,0.12,0.169,0.111,0.023,0.182,0.918,0.008,5.594,5.586,0.239,male
0.13,0.093,0.135,0.025,0.217,0.192,27.798,834.801,0.813,0.403,0,0.13,0.108,0.019,0.17,0.008,0.008,0.008,0,0,male
0.117,0.086,0.132,0.026,0.166,0.14,23.36,595.744,0.871,0.583,0,0.117,0.1,0.017,0.186,0.008,0.008,0.008,0,0,male
0.107,0.085,0.114,0.024,0.159,0.135,24.174,665.15,0.921,0.676,0,0.107,0.132,0.016,0.267,0.008,0.008,0.016,0.008,0.118,male
0.131,0.079,0.15,0.097,0.177,0.08,25.393,710.136,0.843,0.445,0,0.131,0.094,0.02,0.186,0.008,0.008,0.008,0,0,male
0.126,0.085,0.141,0.043,0.177,0.133,28.385,880.564,0.883,0.598,0,0.126,0.105,0.02,0.184,0.019,0.008,0.445,0.438,0.053,male
0.107,0.084,0.095,0.029,0.173,0.144,23.988,658.305,0.94,0.716,0,0.107,0.108,0.018,0.254,0.008,0.008,0.008,0,0,male
0.165,0.071,0.176,0.095,0.227,0.131,18.85,459.517,0.92,0.525,0.06,0.165,0.086,0.016,0.271,0.07,0.07,0.07,0,0,male
0.175,0.067,0.191,0.108,0.227,0.119,12.569,274.051,0.922,0.455,0.06,0.175,0.072,0.016,0.25,0.1,0.07,0.711,0.641,0.073,male
0.165,0.073,0.174,0.095,0.236,0.141,17.574,396.017,0.921,0.564,0.06,0.165,0.083,0.02,0.267,0.09,0.07,0.508,0.438,0.093,male
0.163,0.076,0.173,0.089,0.239,0.15,17.75,392.954,0.904,0.519,0.06,0.163,0.057,0.018,0.225,0.07,0.07,0.07,0,0,male
0.172,0.073,0.185,0.097,0.241,0.144,15.812,348.99,0.913,0.486,0.06,0.172,0.076,0.016,0.232,0.076,0.07,0.25,0.18,0.063,male
0.168,0.071,0.179,0.098,0.232,0.134,17.948,416.184,0.921,0.519,0.06,0.168,0.081,0.016,0.271,0.074,0.07,0.211,0.141,0.051,male
0.169,0.07,0.182,0.097,0.227,0.13,15.48,351.444,0.914,0.467,0.06,0.169,0.082,0.016,0.271,0.166,0.07,3.164,3.094,0.059,male
0.166,0.077,0.173,0.088,0.241,0.153,15.862,307.035,0.906,0.505,0.06,0.166,0.061,0.016,0.258,0.07,0.07,0.07,0,0,male
0.169,0.071,0.178,0.102,0.226,0.124,12.385,235.711,0.919,0.513,0.06,0.169,0.075,0.016,0.271,0.082,0.07,0.273,0.203,0.121,male
0.16,0.07,0.166,0.094,0.228,0.134,16.496,331.372,0.916,0.542,0.06,0.16,0.074,0.016,0.271,0.076,0.07,0.242,0.172,0.074,male
0.201,0.054,0.22,0.155,0.243,0.087,1.743,7.191,0.916,0.301,0.222,0.201,0.116,0.019,0.267,0.956,0.195,4.289,4.094,0.178,male
0.209,0.053,0.226,0.175,0.25,0.075,2.082,7.898,0.902,0.241,0.23,0.209,0.115,0.022,0.25,1.016,0.141,6.25,6.109,0.215,male
0.215,0.053,0.237,0.175,0.255,0.08,2.156,8.238,0.9,0.252,0.239,0.215,0.124,0.027,0.271,0.871,0.148,6.453,6.305,0.184,male
0.211,0.054,0.233,0.161,0.254,0.093,2.285,10.189,0.903,0.248,0.249,0.211,0.123,0.024,0.232,0.646,0.172,5.203,5.031,0.12,male
0.207,0.053,0.227,0.164,0.244,0.08,2.907,15.203,0.906,0.291,0.238,0.207,0.13,0.032,0.2,0.926,0.172,6.031,5.859,0.234,male
0.108,0.08,0.101,0.031,0.181,0.15,2.03,8.709,0.959,0.729,0.013,0.108,0.102,0.019,0.267,0.156,0.008,0.984,0.977,0.263,male
0.116,0.082,0.099,0.041,0.188,0.147,1.886,8.933,0.966,0.76,0.007,0.116,0.104,0.019,0.246,0.137,0.008,0.641,0.633,0.331,male
0.113,0.078,0.102,0.043,0.187,0.144,1.701,6.863,0.962,0.728,0.003,0.113,0.095,0.019,0.262,0.291,0.008,3.141,3.133,0.151,male
0.085,0.08,0.07,0.014,0.13,0.116,2.883,11.894,0.928,0.6,0.005,0.085,0.109,0.021,0.276,0.336,0.008,4.289,4.281,0.138,male
0.116,0.077,0.103,0.05,0.189,0.139,2.053,8.191,0.961,0.724,0.098,0.116,0.098,0.016,0.271,0.295,0.008,4.336,4.328,0.109,male
0.113,0.078,0.105,0.043,0.182,0.138,1.399,5.024,0.965,0.738,0.004,0.113,0.1,0.019,0.235,0.328,0.008,4.57,4.563,0.127,male
0.119,0.078,0.103,0.054,0.189,0.136,1.986,8.394,0.963,0.749,0.098,0.119,0.104,0.018,0.271,0.467,0.008,4.391,4.383,0.127,male
0.105,0.082,0.092,0.029,0.18,0.151,3.259,19.92,0.96,0.735,0.004,0.105,0.077,0.016,0.232,0.12,0.008,0.719,0.711,0.25,male
0.108,0.079,0.101,0.035,0.18,0.145,2.214,10.448,0.958,0.722,0.007,0.108,0.102,0.018,0.276,0.135,0.008,0.625,0.617,0.258,male
0.1,0.08,0.088,0.027,0.168,0.141,2.425,11.182,0.956,0.708,0.01,0.1,0.107,0.016,0.267,0.306,0.008,1.641,1.633,0.247,male
0.145,0.084,0.145,0.096,0.221,0.125,28.45,992.934,0.937,0.677,0,0.145,0.11,0.016,0.276,0.015,0.008,0.391,0.383,0.037,male
0.138,0.086,0.134,0.068,0.222,0.154,27.284,910.944,0.938,0.665,0,0.138,0.105,0.017,0.276,0.017,0.008,0.438,0.43,0.042,male
0.098,0.086,0.078,0.018,0.191,0.173,22.785,656.491,0.927,0.628,0,0.098,0.102,0.016,0.267,0.021,0.008,0.523,0.516,0.053,male
0.136,0.08,0.134,0.07,0.202,0.132,1.6,6.49,0.968,0.755,0.144,0.136,0.113,0.017,0.262,0.395,0.008,4.852,4.844,0.123,male
0.136,0.091,0.129,0.046,0.224,0.178,22.851,611.304,0.93,0.662,0,0.136,0.092,0.016,0.271,0.008,0.008,0.008,0,0,male
0.106,0.09,0.097,0.016,0.19,0.174,24.268,678.335,0.907,0.613,0,0.106,0.103,0.017,0.271,0.021,0.008,0.398,0.391,0.067,male
0.113,0.086,0.104,0.024,0.197,0.172,28.202,897.422,0.911,0.614,0,0.113,0.106,0.016,0.271,0.018,0.008,0.445,0.438,0.05,male
0.116,0.089,0.106,0.023,0.205,0.182,22.555,592.189,0.903,0.597,0,0.116,0.105,0.016,0.276,0.042,0.008,0.531,0.523,0.134,male
0.113,0.084,0.105,0.024,0.196,0.172,27.104,827.567,0.878,0.543,0,0.113,0.107,0.019,0.262,0.008,0.008,0.008,0,0,male
0.122,0.086,0.112,0.038,0.205,0.166,26.055,798.072,0.934,0.675,0,0.122,0.087,0.016,0.229,0.017,0.008,0.383,0.375,0.05,male
0.174,0.073,0.178,0.104,0.246,0.142,15.553,331.377,0.925,0.523,0.06,0.174,0.089,0.016,0.246,0.165,0.07,0.828,0.758,0.112,male
0.165,0.073,0.177,0.093,0.234,0.141,17.575,410.656,0.919,0.527,0.06,0.165,0.079,0.016,0.258,0.101,0.07,0.414,0.344,0.092,male
0.166,0.07,0.176,0.097,0.222,0.124,17.688,415.882,0.919,0.52,0.06,0.166,0.077,0.016,0.262,0.088,0.07,0.531,0.461,0.079,male
0.155,0.072,0.161,0.085,0.219,0.134,19.364,453.24,0.919,0.58,0.06,0.155,0.076,0.017,0.239,0.072,0.07,0.117,0.047,0.067,male
0.17,0.073,0.176,0.092,0.24,0.147,18.969,460.261,0.914,0.484,0.06,0.17,0.073,0.016,0.262,0.084,0.07,0.445,0.375,0.073,male
0.163,0.068,0.177,0.1,0.217,0.117,21.58,598.393,0.926,0.534,0.06,0.163,0.072,0.016,0.258,0.09,0.07,0.695,0.625,0.055,male
0.162,0.072,0.167,0.091,0.23,0.138,22.498,623.563,0.916,0.532,0.06,0.162,0.078,0.016,0.254,0.085,0.07,0.664,0.594,0.051,male
0.161,0.071,0.173,0.095,0.22,0.126,22.869,602.716,0.92,0.555,0.06,0.161,0.071,0.016,0.262,0.07,0.07,0.07,0,0,male
0.17,0.073,0.181,0.094,0.238,0.144,17.004,394.97,0.915,0.482,0.06,0.17,0.069,0.016,0.229,0.095,0.07,0.75,0.68,0.076,male
0.172,0.072,0.18,0.099,0.24,0.141,19.306,514.178,0.927,0.529,0.06,0.172,0.09,0.016,0.276,0.079,0.07,0.25,0.18,0.083,male
0.169,0.072,0.197,0.111,0.225,0.114,2.765,16.43,0.938,0.624,0.05,0.169,0.109,0.035,0.19,1.107,0.078,5.07,4.992,0.242,male
0.166,0.078,0.179,0.108,0.23,0.122,3.341,34.486,0.962,0.73,0.05,0.166,0.103,0.017,0.276,1.169,0.008,6.531,6.523,0.273,male
0.148,0.087,0.175,0.065,0.222,0.157,2.391,17.948,0.966,0.759,0.05,0.148,0.093,0.02,0.25,1.284,0.008,5.234,5.227,0.251,male
0.149,0.086,0.173,0.071,0.22,0.149,3.037,27.723,0.969,0.782,0.05,0.149,0.111,0.02,0.276,1.712,0.008,5.242,5.234,0.357,male
0.139,0.088,0.157,0.05,0.213,0.163,3.892,44.078,0.966,0.769,0.05,0.139,0.107,0.024,0.276,0.716,0.008,3.609,3.602,0.196,male
